@relation  generated
@attribute A numeric
@attribute B numeric
@attribute class {0,1}

@data
19.385515959096832,5.447408262009999,0
88.49131434496297,35.8972314693557,0
8.1690371922963,34.82645038717883,0
60.79200292028824,5.849243992390116,0
29.953180137731877,20.79306678679493,0
90.87030136650712,45.05552587483975,0
42.95710737459846,47.83333442907392,0
91.18696959391568,13.711022643635207,0
55.05250491482149,42.05446187800063,0
0.7572576983209459,17.094761355942495,0
55.9722328800756,13.130493121149152,0
61.40861436817334,44.21312557193645,0
62.494003799843235,46.29277160960449,0
29.250097827037195,17.72861245444337,0
39.237626871715825,22.788109129805868,0
42.44949029205113,22.12649232817929,0
3.575434075213802,11.44076959776139,0
63.75733516261671,30.65568758681972,0
53.807487954823586,18.131548595538884,0
44.46741833813685,39.02782048152941,0
54.36005668767957,37.783020426568854,0
50.40471112943994,14.521440572574017,0
72.3733302744216,18.85720474187516,0
27.894006720658354,23.67842769919561,0
51.983381294931924,24.644886131835076,0
45.406507621011954,8.00491071842407,0
28.384944688131107,32.67236045959801,0
87.41077331753145,39.79994794525359,0
69.04339284014242,23.48338552524949,0
42.45191028901734,50.00242314134505,0
96.38478001160672,7.486981990101319,0
26.115052449041908,2.368658838579554,0
86.74968163217856,39.51699001868495,0
57.54859050830075,18.13832534081201,0
8.097598521754522,8.75215661758095,0
88.02787393869787,14.445562828793344,0
89.24327746977762,6.226921478856396,0
21.606049242548618,35.641437982840664,0
89.34663949793163,37.78090744628224,0
29.4579074650521,6.134066350515531,0
44.14569641496228,20.90828039690424,0
84.69367055322977,17.090802514176353,0
29.93055451327179,35.08497656780331,0
30.773479634372215,37.27752429382222,0
34.88334338164141,35.25169726943763,0
88.68184071192276,19.115390947147745,0
96.26640533101362,39.13898430993559,0
50.51783917539493,19.59680066203661,0
80.92668869306095,31.566238897129544,0
93.79912782527938,35.91041732412207,0
63.002401766034346,19.25895825735355,0
27.605661597317546,5.866333948988377,0
13.729990982365397,1.0167586385645375,0
84.2650566720062,28.32708261373159,0
68.04986950686609,40.56173808707264,0
8.513849512594568,8.916642904919843,0
74.98910545847012,6.180293847275815,0
88.28749340687425,41.91349892272965,0
87.49253211374395,45.88986589531223,0
76.08839262523868,11.756733660990859,0
77.4448726688124,0.9843281047173148,0
63.09650283771152,2.3857337519834534,0
96.74858758940299,23.979399906197635,0
98.84812953794275,28.91872190333444,0
84.4330476022495,37.52260360938074,0
92.66913022305289,37.789463475139314,0
94.09543940472855,1.226447018940848,0
0.9716572455426352,20.40423739023126,0
77.0349445699148,9.303753563627582,0
41.02714053877338,0.5091989271824904,0
76.88397821190546,9.420067591289405,0
80.51383785498047,42.04037375626349,0
28.31952041902017,40.59893219913663,0
79.0648176639842,13.271247601450602,0
93.19384797008641,5.54215406621708,0
70.38878724421788,10.64331269049217,0
37.174747434233865,27.621425582774048,0
85.23665685236152,31.27250351427714,0
41.14522473362274,19.977541416741484,0
28.967952194574202,23.16461539805931,0
67.99428725580665,3.695573474288252,0
71.2662507637229,35.31671459295195,0
48.45363973399241,15.806070237240862,0
10.914303220382756,14.26328385498592,0
97.8907322356885,32.52872926140526,0
48.59121307827608,22.445146932595303,0
50.69363120053886,43.13373217258432,0
41.9060166855109,25.2134373082305,0
2.1218631435507502,21.51971575396973,0
88.65153413920078,15.528610043750662,0
73.30241463758192,13.320492810631784,0
53.42328475001875,15.521107521892645,0
94.10431563083534,10.342700312503494,0
68.68662834004623,8.394854029834619,0
40.85277048947275,16.33756811947589,0
99.49787465811488,45.01530083435265,0
1.819344067641291,27.51896963951964,0
16.03171119550977,23.335009984318898,0
57.18480254802386,25.347568681476893,0
88.81388735009095,37.69666431302498,0
64.95305104360594,27.966869977975936,0
85.51897373943962,16.794179792083817,0
47.890744185686934,29.383545449512056,0
9.366619694445546,48.21429234476306,0
51.807768856460996,16.330667081269144,0
8.971275404563187,50.422436780248724,0
7.282150667525713,2.2945693160233414,0
17.14017948441556,47.23730615649788,0
18.496951965919372,47.950358372464144,0
46.72272924856419,10.231228390439878,0
71.03216467319976,36.93878782376366,0
89.47600245889355,18.064736092382585,0
74.9928040018425,40.21126818157351,0
74.89296196031275,18.9553268169975,0
23.31975864228213,40.62156962051943,0
11.47832548934301,27.926715510114953,0
94.16738596426835,19.0693048890776,0
1.544227994750935,48.35509877813671,0
45.26014678728552,8.31482665017436,0
76.36307125015972,6.93746797017846,0
50.69804093510217,35.84339182011007,0
87.6116095032036,28.23893344894855,0
44.50753272813808,35.85273311996293,0
41.02409511508733,32.9307325682598,0
96.66743520970476,26.536928662412393,0
7.600967351433626,38.31011304729436,0
26.56372868012661,35.79770486153199,0
52.68254926591369,30.05217147454379,0
59.9491159274952,6.512211801702171,0
22.249206762897032,36.60612625726821,0
31.12687678641288,41.06686556201928,0
17.006168905988602,35.23747473540865,0
92.07504633677127,45.31908631344573,0
98.52825723286375,24.301338886814225,0
18.25725904915814,36.83239970364296,0
33.981988666050505,8.226704677657324,0
16.717833595829404,33.47216305031572,0
22.99421572324373,11.69122735800336,0
71.70779955082627,35.30719157034815,0
55.475159171817644,17.57978318056744,0
92.63203450406687,17.850006280853563,0
87.00183109195179,4.104210804631745,0
88.42103903616619,15.151892519890659,0
64.36855096482334,29.75790466077476,0
65.45832421296423,8.260293642457805,0
40.803304987346316,24.49492715174032,0
31.37529236714695,48.003618133242554,0
76.83132825927191,46.36910245328825,0
72.28437746221894,27.5898222691579,0
99.33972547584547,46.05485257269646,0
57.52778717510779,34.88795476809961,0
3.53992741178412,49.05990584686697,0
57.78667605908163,3.553920352085437,0
99.27430189157295,28.603202593013975,0
76.90656773385005,27.741663951118486,0
80.74847384676623,36.17575035972946,0
84.3465011607961,48.57719576064595,0
70.69841892421546,23.6163167201315,0
54.40607492572144,36.883273468889335,0
7.32248429297997,26.727518938260097,0
35.86184452760662,34.505214155086975,0
78.27064330165172,41.10566368938975,0
48.89656081540902,21.53008273524572,0
67.08704077230179,38.44956058967907,0
78.17333026958644,30.265863226553062,0
44.29232392242139,19.68091733102777,0
72.96356188480634,44.35984902773892,0
36.67123958010039,8.591953914337822,0
85.46536490988325,1.503275425803785,0
23.672176240750918,35.97617447636156,0
63.50706565751055,27.57193853455396,0
93.93611400268885,26.46280787218397,0
33.73062620366285,25.763166123149755,0
52.045472036684984,33.80964530839928,0
77.09110784042763,0.6337336459118863,0
45.376674518616625,8.612710107160826,0
40.57188676819481,10.073046725745755,0
22.394516938600926,38.496443028185965,0
64.92693556045413,11.702922498806869,0
91.47920999714903,35.498813813280414,0
60.80136571308585,33.59448731881555,0
74.04683683023704,19.239413865296743,0
32.52031764739675,13.995792529275002,0
28.95081061202398,29.04363971407107,0
44.669553653979875,9.814268980673416,0
2.950013710083709,10.108984696497249,0
62.91690171242819,33.078226374721716,0
72.38548835937952,10.209369828476945,0
34.78494431283884,46.32355493972674,0
0.8598219718911224,22.682850866782946,0
66.9979202323138,24.48379929459363,0
39.46383916185169,6.728772855414912,0
7.776773479083166,37.2546850748281,0
46.16613913749044,37.609589181035844,0
22.916145624689822,32.08337658901642,0
8.443358544536556,40.85847247933278,0
61.008562099372085,1.481971059826905,0
46.20341956623073,9.974686977938807,0
87.69551790544888,47.60680385748739,0
96.61361630829063,44.29531638564812,0
11.348132696131263,29.85013723194787,0
20.86069104949445,36.124439549184984,0
96.15039361204423,11.262239568194284,0
63.99213223088004,11.09310552304733,0
93.15784637135013,1.4908192245618082,0
88.28985214351304,37.11898782449993,0
4.443890688017904,35.076489295948704,0
49.945319159560306,31.2051788435261,0
48.99395248279367,14.74685782903,0
76.31549883142374,11.699750271495626,0
7.656720889784088,35.59052081666713,0
7.182755635234571,22.852778570322776,0
47.600107716991964,16.768815174358423,0
32.51784942541244,20.508890605314637,0
37.27240517664152,26.347551590787436,0
70.31337969707788,1.2796687461148553,0
8.564499314164976,19.479825137735602,0
58.53806521273062,16.960847293554032,0
34.554462760508386,48.33490437494631,0
35.09695612656353,38.482010763803444,0
85.26493309880473,21.28643386846037,0
22.78432916315736,44.496675464938406,0
13.413155821967347,10.963064243798389,0
80.61340590170275,2.3763082049609805,0
28.412950604288138,26.963586050455444,0
30.254763183130056,9.797791279465741,0
49.339904259553585,17.99104301289798,0
88.86621710137581,29.66919822861259,0
